The	DT
TEI	NNP
Infrastructure	NNP
This	DT
chapter	NN
describes	VBZ
the	DT
infrastructure	NN
for	IN
the	DT
encoding	VBG
scheme	NN
defined	VBN
by	IN
these	DT
Guidelines	NNS
.	.
It	PRP
introduces	VBZ
the	DT
conceptual	JJ
framework	NN
within	IN
which	WDT
the	DT
following	VBG
chapters	NNS
are	VBP
to	TO
be	VB
understood	VBN
,	,
and	CC
the	DT
means	NNS
by	IN
which	WDT
that	WDT
conceptual	JJ
framework	NN
is	VBZ
implemented	VBN
.	.
It	PRP
assumes	VBZ
some	DT
familiarity	NN
with	IN
XML	NN
and	CC
XML	NN
schemas	NNS
(	-LRB-
see	VB
chapter	NN
)	-RRB-
but	CC
is	VBZ
intended	VBN
to	TO
be	VB
accessible	JJ
to	TO
any	DT
user	NN
of	IN
these	DT
Guidelines	NNS
.	.
Other	JJ
chapters	NNS
supply	NN
further	RB
technical	JJ
details	NNS
,	,
in	IN
particular	JJ
chapter	NN
which	WDT
describes	VBZ
the	DT
XML	NN
schema	NN
used	VBN
to	TO
express	VB
these	DT
Guidelines	NNS
themselves	PRP
,	,
and	CC
chapter	NN
which	WDT
combines	VBZ
a	DT
discussion	NN
of	IN
modification	NN
and	CC
conformance	NN
issues	NNS
with	IN
a	DT
description	NN
of	IN
the	DT
intended	JJ
behaviour	NN
of	IN
an	DT
ODD	JJ
processor	NN
;	:
these	DT
chapters	NNS
should	MD
be	VB
read	VBN
by	IN
anyone	NN
intending	VBG
to	TO
implement	VB
a	DT
new	JJ
TEI-based	JJ
system	NN
.	.
The	DT
TEI	NNP
encoding	VBG
scheme	NN
consists	VBZ
of	IN
a	DT
number	NN
of	IN
modules	NNS
,	,
each	DT
of	IN
which	WDT
declares	VBZ
particular	JJ
XML	NN
elements	NNS
and	CC
their	PRP$
attributes	NNS
.	.
Part	NN
of	IN
an	DT
element	NN
's	POS
declaration	NN
includes	VBZ
its	PRP$
assignment	NN
to	TO
one	CD
or	CC
more	JJR
element	NN
classes	NNS
.	.
Another	DT
part	NN
defines	VBZ
its	PRP$
possible	JJ
content	NN
and	CC
attributes	VBZ
with	IN
reference	NN
to	TO
these	DT
classes	NNS
.	.
This	DT
indirection	NN
gives	VBZ
the	DT
TEI	NNP
system	NN
much	JJ
of	IN
its	PRP$
strength	NN
and	CC
its	PRP$
flexibility	NN
.	.
Elements	NNS
may	MD
be	VB
combined	VBN
more	RBR
or	CC
less	RBR
freely	RB
to	TO
form	VB
a	DT
schema	NN
appropriate	JJ
to	TO
a	DT
particular	JJ
set	NN
of	IN
requirements	NNS
.	.
It	PRP
is	VBZ
also	RB
easy	JJ
to	TO
add	VB
new	JJ
elements	NNS
which	WDT
reference	VBP
existing	VBG
classes	NNS
or	CC
elements	NNS
to	TO
a	DT
schema	NN
,	,
as	IN
it	PRP
is	VBZ
to	TO
exclude	VB
some	DT
of	IN
the	DT
elements	NNS
provided	VBN
by	IN
any	DT
module	NN
included	VBD
in	IN
a	DT
schema	NN
.	.
In	IN
principle	NN
,	,
a	DT
TEI	NNP
schema	NN
may	MD
be	VB
constructed	VBN
using	VBG
any	DT
combination	NN
of	IN
modules	NNS
.	.
However	RB
,	,
certain	JJ
TEI	NNP
modules	NNS
are	VBP
of	IN
particular	JJ
importance	NN
,	,
and	CC
should	MD
always	RB
be	VB
included	VBN
in	IN
all	DT
but	CC
exceptional	JJ
circumstances	NNS
:	:
the	DT
module	NN
tei	NN
described	VBN
in	IN
the	DT
present	JJ
chapter	NN
is	VBZ
of	IN
this	DT
kind	NN
because	IN
it	PRP
defines	VBZ
classes	NNS
,	,
macros	NNS
,	,
and	CC
datatypes	NNS
which	WDT
are	VBP
used	VBN
by	IN
all	DT
other	JJ
modules	NNS
.	.
The	DT
core	NN
module	NN
,	,
defined	VBN
in	IN
chapter	NN
contains	VBZ
declarations	NNS
for	IN
elements	NNS
and	CC
attributes	NNS
which	WDT
are	VBP
likely	JJ
to	TO
be	VB
needed	VBN
in	IN
almost	RB
any	DT
kind	NN
of	IN
document	NN
,	,
and	CC
is	VBZ
therefore	RB
recommended	VBN
for	IN
global	JJ
use	NN
.	.
The	DT
header	NN
module	NN
defined	VBN
in	IN
chapter	NN
provides	VBZ
declarations	NNS
for	IN
the	DT
metadata	JJ
elements	NNS
and	CC
attributes	VBZ
constituting	VBG
the	DT
TEI	NNP
header	NN
,	,
a	DT
component	NN
which	WDT
is	VBZ
required	VBN
for	IN
TEI	NNP
conformance	NN
,	,
while	IN
the	DT
textstructure	NN
module	NN
defined	VBN
in	IN
chapter	NN
declares	VBZ
basic	JJ
structural	JJ
elements	NNS
needed	VBN
for	IN
the	DT
encoding	NN
of	IN
most	JJS
book-like	JJ
objects	NNS
.	.
Most	JJS
schemas	NNS
will	MD
therefore	RB
need	VB
to	TO
include	VB
these	DT
four	CD
modules	NNS
.	.
The	DT
specification	NN
for	IN
a	DT
TEI	NNP
schema	NN
is	VBZ
itself	PRP
a	DT
TEI	NNP
document	NN
,	,
using	VBG
elements	NNS
from	IN
the	DT
module	NN
described	VBN
in	IN
chapter	NN
:	:
we	PRP
refer	VBP
to	TO
such	PDT
a	DT
document	NN
informally	RB
as	IN
an	DT
ODD	NNP
document	NN
,	,
from	IN
the	DT
design	NN
goal	NN
originally	RB
formulated	VBN
for	IN
the	DT
system	NN
:	:
One	CD
Document	NNP
Does	VBZ
it	PRP
all	DT
.	.
Stylesheets	NNS
for	IN
maintaining	VBG
and	CC
processing	VBG
ODD	NNP
documents	NNS
are	VBP
maintained	VBN
by	IN
the	DT
TEI	NNP
,	,
and	CC
these	DT
Guidelines	NNS
are	VBP
also	RB
maintained	VBN
as	IN
such	JJ
a	DT
document	NN
.	.
As	IN
further	JJ
discussed	VBN
in	IN
,	,
an	DT
ODD	NNP
document	NN
can	MD
be	VB
processed	VBN
to	TO
generate	VB
a	DT
schema	NN
expressed	VBN
using	VBG
any	DT
of	IN
the	DT
three	CD
schema	NN
languages	NNS
currently	RB
in	IN
wide	JJ
use	NN
:	:
the	DT
XML	NN
DTD	NN
language	NN
,	,
the	DT
ISO	NN
RELAX	VB
NG	NN
language	NN
,	,
or	CC
the	DT
W3C	NN
Schema	NN
language	NN
,	,
as	RB
well	RB
as	IN
to	TO
generate	VB
documentation	NN
such	JJ
as	IN
the	DT
Guidelines	NNS
and	CC
their	PRP$
