Critical	JJ
Apparatus	NNP
Scholarly	NNP
editions	NNS
of	IN
texts	NNS
,	,
especially	RB
texts	NNS
of	IN
great	JJ
antiquity	NN
or	CC
importance	NN
,	,
often	RB
record	VB
some	DT
or	CC
all	DT
of	IN
the	DT
known	JJ
variations	NNS
among	IN
different	JJ
witnesses	NNS
to	TO
the	DT
text	NN
.	.
Witnesses	NNS
to	TO
a	DT
text	NN
may	MD
include	VB
authorial	JJ
or	CC
other	JJ
manuscripts	NNS
,	,
printed	VBN
editions	NNS
of	IN
the	DT
work	NN
,	,
early	JJ
translations	NNS
,	,
or	CC
quotations	NNS
of	IN
a	DT
work	NN
in	IN
other	JJ
texts	NNS
.	.
Information	NN
concerning	VBG
variant	JJ
readings	NNS
of	IN
a	DT
text	NN
may	MD
be	VB
accumulated	VBN
in	IN
highly	RB
structured	JJ
form	NN
in	IN
a	DT
critical	JJ
apparatus	NN
of	IN
variants	NNS
.	.
This	DT
chapter	NN
defines	VBZ
a	DT
module	NN
for	IN
use	NN
in	IN
encoding	VBG
such	PDT
an	DT
apparatus	NN
of	IN
variants	NNS
,	,
which	WDT
may	MD
be	VB
used	VBN
in	IN
conjunction	NN
with	IN
any	DT
of	IN
the	DT
modules	NNS
defined	VBN
in	IN
these	DT
Guidelines	NNS
.	.
It	PRP
also	RB
defines	VBZ
an	DT
element	NN
class	NN
which	WDT
provides	VBZ
extra	JJ
attributes	NNS
for	IN
some	DT
elements	NNS
of	IN
the	DT
core	NN
tag	NN
set	VBN
when	WRB
this	DT
module	NN
is	VBZ
selected	VBN
.	.
In	IN
printed	VBN
critical	JJ
editions	NNS
,	,
the	DT
apparatus	NN
takes	VBZ
the	DT
form	NN
of	IN
highly-compressed	JJ
notes	NNS
at	IN
the	DT
bottom	NN
of	IN
each	DT
page	NN
.	.
TEI	NNP
's	POS
critical	JJ
apparatus	NN
module	NN
allows	VBZ
variation	NN
to	TO
be	VB
encoded	VBN
so	RB
that	IN
such	JJ
notes	NNS
may	MD
be	VB
generated	VBN
,	,
but	CC
it	PRP
also	RB
models	NNS
the	DT
variation	NN
so	IN
that	IN
,	,
for	IN
example	NN
,	,
interactive	JJ
editions	NNS
in	IN
which	WDT
readers	NNS
can	MD
choose	VB
which	WDT
witness	NN
readings	NNS
to	TO
display	VB
are	VBP
possible	JJ
.	.
Information	NN
about	IN
variant	JJ
readings	NNS
(	-LRB-
whether	IN
or	CC
not	RB
represented	VBN
by	IN
a	DT
critical	JJ
apparatus	NN
in	IN
the	DT
source	NN
text	NN
)	-RRB-
may	MD
be	VB
recorded	VBN
in	IN
a	DT
series	NN
of	IN
apparatus	NN
entries	NNS
,	,
each	DT
entry	NN
documenting	VBG
one	CD
variation	NN
,	,
or	CC
set	NN
of	IN
readings	NNS
,	,
in	IN
the	DT
text	NN
.	.
Elements	NNS
for	IN
the	DT
apparatus	NN
entry	NN
and	CC
readings	NNS
,	,
and	CC
for	IN
the	DT
documentation	NN
of	IN
the	DT
witnesses	NNS
whose	WP$
readings	NNS
are	VBP
included	VBN
in	IN
the	DT
apparatus	NN
,	,
are	VBP
described	VBN
in	IN
section	NN
.	.
Special	JJ
tags	NNS
for	IN
fragmentary	JJ
witnesses	NNS
are	VBP
described	VBN
in	IN
section	NN
.	.
The	DT
available	JJ
methods	NNS
for	IN
embedding	VBG
the	DT
apparatus	NN
in	IN
the	DT
rest	NN
of	IN
the	DT
text	NN
,	,
or	CC
for	IN
linking	VBG
an	DT
external	JJ
apparatus	NN
to	TO
the	DT
base	NN
text	NN
,	,
are	VBP
described	VBN
in	IN
section	NN
.	.
Finally	RB
,	,
several	JJ
extra	JJ
attributes	NNS
for	IN
some	DT
tags	NNS
of	IN
the	DT
core	NN
tag	NN
set	NN
,	,
made	VBN
available	JJ
when	WRB
the	DT
additional	JJ
tag	NN
set	VBN
for	IN
text	NN
criticism	NN
is	VBZ
selected	VBN
,	,
are	VBP
documented	VBN
in	IN
section	NN
.	.
Many	JJ
examples	NNS
given	VBN
in	IN
this	DT
chapter	NN
refer	VB
to	TO
the	DT
following	VBG
texts	NNS
of	IN
the	DT
opening	NN
(	-LRB-
usually	RB
just	RB
line	NN
1	CD
)	-RRB-
of	IN
Chaucer	NNP
's	POS
Wife	NNP
of	IN
Bath	NNP
's	POS
Prologue	NNP
,	,
as	IN
it	PRP
appears	VBZ
in	IN
each	DT
of	IN
the	DT
four	CD
different	JJ
manuscripts	NNS
Ellesmere	NNP
,	,
Huntingdon	NNP
Library	NNP
26.C	NNP
.9	NN
(	-LRB-
El	NNP
)	-RRB-
Hengwrt	NNP
,	,
National	NNP
Library	NNP
of	IN
Wales	NNP
,	,
Aberystwyth	NNP
,	,
Peniarth	NNP
392D	NN
(	-LRB-
Hg	NN
)	-RRB-
British	JJ
Library	NNP
Lansdowne	NNP
851	CD
(	-LRB-
La	NN
)	-RRB-
Bodleian	JJ
Library	NNP
Rawlinson	NNP
Poetic	JJ
149	CD
(	-LRB-
Ra2	NN
)	-RRB-
The	DT
Apparatus	NN
Entry	NN
,	,
Readings	NNS
,	,
and	CC
Witnesses	NNS
This	DT
section	NN
introduces	VBZ
the	DT
fundamental	JJ
markup	NN
methods	NNS
used	VBN
to	TO
encode	VB
textual	JJ
variations	NNS
:	:
the	DT
app	NN
element	NN
for	IN
entries	NNS
in	IN
the	DT
critical	JJ
apparatus	NN
:	:
see	VB
section	NN
.	.
elements	NNS
for	IN
identifying	VBG
individual	JJ
readings	NNS
:	:
see	VB
section	NN
.	.
ways	NNS
of	IN
grouping	VBG
readings	NNS
together	RB
:	:
see	VB
section	NN
.	.
methods	NNS
of	IN
identifying	VBG
which	WDT
witnesses	NNS
support	VBP
a	DT
particular	JJ
reading	NN
,	,
and	CC
for	IN
describing	VBG
the	DT
witnesses	NNS
included	VBD
in	IN
the	DT
apparatus	NN
:	:
see	VB
section	NN
.	.
elements	NNS
for	IN
indicating	VBG
which	WDT
portions	NNS
of	IN
a	DT
text	NN
are	VBP
covered	VBN
by	IN
fragmentary	JJ
witnesses	NNS
:	:
see	VB
section	NN
.	.
The	DT
app	NN
element	NN
is	VBZ
in	IN
one	CD
sense	NN
a	DT
more	RBR
sophisticated	JJ
and	CC
complex	JJ
version	NN
of	IN
the	DT
choice	NN
element	NN
introduced	VBN
in	IN
as	IN
a	DT
way	NN
of	IN
marking	VBG
points	NNS
where	WRB
the	DT
encoding	NN
of	IN
a	DT
passage	NN
in	IN
a	DT
single	JJ
source	NN
may	MD
be	VB
carried	VBN
out	RP
in	IN
more	JJR
than	IN
one	CD
way	NN
.	.
Unlike	IN
choice	NN
,	,
however	RB
,	,
the	DT
app	NN
element	NN
allows	VBZ
for	IN
the	DT
representation	NN
of	IN
many	JJ
different	JJ
versions	NNS
of	IN
the	DT
same	JJ
passage	NN
taken	VBN
from	IN
different	JJ
sources	NNS
.	.
The	DT
Apparatus	NNP
Entry	NNP
Individual	NNP
textual	JJ
variations	NNS
are	VBP
encoded	VBN
using	VBG
the	DT
app	NN
element	NN
,	,
which	WDT
groups	NNS
