source	identifier	publisher
http://dramacode.github.io/bibdramatique/brosse_aveugle-clairvoyant.xml	http://bibdramatique.paris-sorbonne.fr/brosse_aveugle-clairvoyant/	CELLF
http://dramacode.github.io/bibdramatique/chevreau_avocat-duppe.xml	http://bibdramatique.paris-sorbonne.fr/chevreau_avocat-duppe/	CELLF
http://dramacode.github.io/bibdramatique/corneille-thomas_comtesse-orgueil.xml	http://bibdramatique.paris-sorbonne.fr/corneille-thomas_comtesse-orgueil/	CELLF
http://dramacode.github.io/bibdramatique/corneille-thomas_baron-albikrac.xml	http://bibdramatique.paris-sorbonne.fr/corneille-thomas_baron-albikrac/	CELLF
http://dramacode.github.io/bibdramatique/corneille-thomas_charme-voix.xml	http://bibdramatique.paris-sorbonne.fr/corneille-thomas_charme-voix/	CELLF
http://dramacode.github.io/bibdramatique/corneille-thomas_feint-astrologue.xml	http://bibdramatique.paris-sorbonne.fr/corneille-thomas_feint-astrologue/	CELLF
http://dramacode.github.io/bibdramatique/corneille-thomas_illustres-ennemis.xml	http://bibdramatique.paris-sorbonne.fr/corneille-thomas_illustres-ennemis/	CELLF
http://dramacode.github.io/bibdramatique/gillet_desniaise.xml	http://bibdramatique.paris-sorbonne.fr/gillet_desniaise/	CELLF
http://dramacode.github.io/bibdramatique/ouville_jodelet-astrologue.xml	http://bibdramatique.paris-sorbonne.fr/ouville_jodelet-astrologue/	CELLF
http://dramacode.github.io/bibdramatique/ouville_absent-chez-soi.xml	http://bibdramatique.paris-sorbonne.fr/ouville_absent-chez-soi/	CELLF
http://dramacode.github.io/bibdramatique/ouville_coiffeuse-mode.xml	http://bibdramatique.paris-sorbonne.fr/ouville_coiffeuse-mode/	CELLF
http://dramacode.github.io/bibdramatique/ouville_esprit-folet.xml	http://bibdramatique.paris-sorbonne.fr/ouville_esprit-folet/	CELLF
http://dramacode.github.io/bibdramatique/ouville_fausses-verites.xml	http://bibdramatique.paris-sorbonne.fr/ouville_fausses-verites/	CELLF
http://dramacode.github.io/bibdramatique/ouville_soupcons-apparences.xml	http://bibdramatique.paris-sorbonne.fr/ouville_soupcons-apparences/	CELLF
http://dramacode.github.io/bibdramatique/scudery_fils-suppose.xml	http://bibdramatique.paris-sorbonne.fr/scudery_fils-suppose/	CELLF
http://dramacode.github.io/tcp5/boursault_portraitdupeintre.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/BOURSAULT_PORTRAITDUPEINTRE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_illusioncomique.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_ILLUSIONCOMIQUE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_galeriedupalais.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_GALERIEDUPALAIS.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_placeroyale.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_PLACEROYALE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_suitementeur.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_SUITEMENTEUR.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_suivante.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_SUIVANTE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_veuve34.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_VEUVE34.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_veuve.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_VEUVE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_menteur.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_MENTEUR.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillep_melite.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_MELITE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/corneillet_festinpierre.xml	http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_FESTINPIERRE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/cyrano_pedantjoue.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CYRANO_PEDANTJOUE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/donneaudevise_zelinde.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DONNEAUDEVISE_ZELINDE.xml	Théâtre Classique
http://dramacode.github.io/tcp5/dorimond_festindepierre.xml	http://www.theatre-classique.fr/	Théâtre Classique
http://dramacode.github.io/tcp5/dumas_donjuan.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DUMAS_DONJUAN.xml	Théâtre Classique
http://dramacode.github.io/tcp5/gillet_campagnard.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/GILLET_CAMPAGNARD.xml	Théâtre Classique
http://dramacode.github.io/tcp5/moliere_tartuffe64.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_TARTUFFE64.xml	Théâtre Classique
http://dramacode.github.io/tcp5/rosimond_festindepierre.xml	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROSIMOND_FESTINDEPIERRE.xml	Théâtre Classique
